School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
610038,Abraham Lincoln Elementary School,ES,TRUE,Very Strong,99,Very Strong,99,Strong,74,Strong,66,Weak,65,Strong,70,96.00%,813,7
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,FALSE,Average,54,Strong,66,Strong,74,Very Strong,84,Weak,63,Strong,76,95.60%,521,43
610185,Adlai E Stevenson Elementary School,ES,FALSE,Strong,61,,,Average,50,Weak,36,Weak,,,,95.70%,1324,70
609993,Agustin Lara Elementary Academy,ES,FALSE,Average,56,Average,44,Average,45,Weak,37,Weak,65,Average,48,95.50%,556,61
610513,Air Force Academy High School,HS,TRUE,Average,49,Strong,60,Strong,60,Average,55,Weak,45,Average,54,93.30%,302,34
610212,Albany Park Multicultural Academy,MS,FALSE,Strong,66,Weak,37,Strong,66,Strong,71,Weak,43,Average,50,97.00%,266,14
609720,Albert G Lane Technical High School,HS,FALSE,Very Strong,88,,,Strong,62,Average,52,Weak,,,,96.30%,4368,5
610342,Albert R Sabin Elementary Magnet School,ES,FALSE,Strong,67,,,Weak,30,Very Weak,18,Weak,,,,94.70%,620,24
610524,Alcott High School for the Humanities,HS,FALSE,Strong,70,,,Strong,67,Average,51,Weak,,,,92.70%,232,5
610209,Alessandro Volta Elementary School,ES,FALSE,Average,43,Strong,61,Weak,28,Weak,37,Weak,62,Average,56,96.40%,1023,14
609799,Alexander Graham Bell Elementary School,ES,FALSE,Very Strong,99,Very Strong,88,Strong,64,Average,46,Weak,51,Average,51,96.30%,998,5
609947,Alexander Graham Elementary School,ES,FALSE,Average,49,Weak,30,Weak,31,Weak,33,Weak,30,Average,41,92.50%,476,61
609963,Alexander Hamilton Elementary School,ES,FALSE,Strong,73,Strong,64,Strong,60,Average,59,Weak,59,Average,48,95.30%,307,6
610210,Alexander von Humboldt Elementary School,ES,FALSE,Weak,31,,,Weak,32,Average,45,Weak,,,,92.50%,398,24
609808,Alex Haley Elementary Academy,ES,FALSE,Weak,28,,,Average,58,Strong,60,Weak,,,,94.90%,525,49
610028,Alfred David Kohn Elementary School,ES,FALSE,Very Weak,19,Weak,26,Weak,22,Very Weak,13,Weak,21,Very Weak,19,90.10%,428,49
