ID,Year_Birth,Dt_Customer,Education,Marital_Status,Kidhome,Teenhome,Income,Income_Status,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,SuccessCampaign,Complain,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,TotAmountSpent,NumWebVisitsMonth,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,TotNumPurchase,Recency
5524,1957.0,2012-09-04,Graduation,Single,0,0,58138.0,Tier 2,0,0,0,0,0,1,1,0,172,546,88,88,635,88,1617,7,3,10,4,8,17,58
2174,1954.0,2014-03-08,Graduation,Single,1,1,46344.0,Tier 2,0,0,0,0,0,0,0,0,2,6,1,1,11,6,27,5,2,1,2,1,5,38
4141,1965.0,2013-08-21,Graduation,Together,0,0,71613.0,Tier 1,0,0,0,0,0,0,0,0,111,127,49,21,426,42,776,4,1,2,10,8,13,26
6182,1984.0,2014-02-10,Graduation,Together,1,0,26646.0,Tier 3,0,0,0,0,0,0,0,0,10,20,4,3,11,5,53,6,2,0,4,2,6,26
5324,1981.0,2014-01-19,PhD,Married,1,0,58293.0,Tier 2,0,0,0,0,0,0,0,0,46,118,43,27,173,15,422,5,5,3,6,5,14,94
7446,1967.0,2013-09-09,Master,Together,0,1,62513.0,Tier 1,0,0,0,0,0,0,0,0,0,98,42,42,520,14,716,6,2,4,10,6,16,16
965,1971.0,2012-11-13,Graduation,Divorced,0,1,55635.0,Tier 2,0,0,0,0,0,0,0,0,50,164,65,49,235,27,590,6,4,3,7,7,14,34
6177,1985.0,2013-05-08,PhD,Married,1,0,33454.0,Tier 3,0,0,0,0,0,0,0,0,3,56,10,1,76,23,169,8,2,0,4,4,6,32
4855,1974.0,2013-06-06,PhD,Together,1,0,30351.0,Tier 3,0,0,0,0,0,1,1,0,3,24,0,3,14,2,46,9,1,0,2,3,3,19
5899,1950.0,2014-03-13,PhD,Together,1,1,5648.0,Tier 3,0,0,1,0,0,0,1,0,1,6,0,1,28,13,49,20,1,0,0,1,1,68
1994,1983.0,2013-11-15,Graduation,Married,1,0,52247.25135379061,Tier 3,0,0,0,0,0,0,0,0,0,6,5,2,5,1,19,7,1,0,2,1,3,11
387,1976.0,2012-11-13,Basic,Married,0,0,7500.0,Tier 3,0,0,0,0,0,0,0,0,11,11,16,1,6,16,61,8,1,0,3,2,4,59
2125,1959.0,2013-11-15,Graduation,Divorced,0,0,63033.0,Tier 1,0,0,0,0,0,0,0,0,225,480,61,112,194,30,1102,2,1,4,8,3,13,82
8180,1952.0,2013-11-15,Master,Divorced,1,1,59354.0,Tier 2,0,0,0,0,0,0,0,0,3,53,2,5,233,14,310,6,3,1,5,6,9,53
2569,1987.0,2012-10-10,Graduation,Married,0,0,17323.0,Tier 3,0,0,0,0,0,0,0,0,6,17,14,1,3,5,46,8,1,0,3,1,4,38
2114,1946.0,2012-11-24,PhD,Single,0,0,82800.0,Tier 1,1,0,0,0,1,1,3,0,59,115,22,68,1006,45,1315,3,1,6,12,7,19,23
9736,1980.0,2012-12-24,Graduation,Married,1,1,41850.0,Tier 2,0,0,0,0,0,0,0,0,2,19,5,13,53,4,96,8,3,0,3,3,6,51
4939,1946.0,2012-08-31,Graduation,Together,0,0,37760.0,Tier 3,0,0,0,0,0,0,0,0,150,38,5,12,84,28,317,7,2,1,6,4,9,20
6565,1949.0,2013-03-28,Master,Married,0,1,76995.0,Tier 1,1,0,0,0,0,0,1,0,0,498,80,16,1012,176,1782,5,2,4,9,11,15,91
